[15-Aug-2026 07:53:34 Europe/Kiev] 404 Not Found: [GET] URI -> /test | IP -> 5.248.93.169 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36
[15-Aug-2026 11:11:20 Europe/Kiev] 404 Not Found: [GET] URI -> /_next/data/buildId/page.json?cmd=CihmdW5jdGlvbigpewoJdHJ5IHsKCQl2YXIgY21kID0gImVjaG8gVlVMTl9URVNUIjsKCQl2YXIgcmVzdWx0ID0gcmVxdWlyZSgnY2hpbGRfcHJvY2VzcycpLmV4ZWNTeW5jKGNtZCwge2VuY29kaW5nOiAndXRmOCd9KTsKCQlyZXR1cm4gYnRvYShyZXN1bHQpOwoJfSBjYXRjaChlKSB7CgkJcmV0dXJuIGJ0b2EoZS50b1N0cmluZygpKTsKCX0KfSkoKQo= | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
[15-Aug-2026 11:11:20 Europe/Kiev] 404 Not Found: [GET] URI -> /_next/data/buildId/index.json?cmd=CihmdW5jdGlvbigpewoJdHJ5IHsKCQl2YXIgY21kID0gImVjaG8gVlVMTl9URVNUIjsKCQl2YXIgcmVzdWx0ID0gcmVxdWlyZSgnY2hpbGRfcHJvY2VzcycpLmV4ZWNTeW5jKGNtZCwge2VuY29kaW5nOiAndXRmOCd9KTsKCQlyZXR1cm4gYnRvYShyZXN1bHQpOwoJfSBjYXRjaChlKSB7CgkJcmV0dXJuIGJ0b2EoZS50b1N0cmluZygpKTsKCX0KfSkoKQo= | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
[15-Aug-2026 11:11:20 Europe/Kiev] 404 Not Found: [GET] URI -> /_next/static/chunks/pages/?cmd=CihmdW5jdGlvbigpewoJdHJ5IHsKCQl2YXIgY21kID0gImVjaG8gVlVMTl9URVNUIjsKCQl2YXIgcmVzdWx0ID0gcmVxdWlyZSgnY2hpbGRfcHJvY2VzcycpLmV4ZWNTeW5jKGNtZCwge2VuY29kaW5nOiAndXRmOCd9KTsKCQlyZXR1cm4gYnRvYShyZXN1bHQpOwoJfSBjYXRjaChlKSB7CgkJcmV0dXJuIGJ0b2EoZS50b1N0cmluZygpKTsKCX0KfSkoKQo= | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
[15-Aug-2026 11:11:20 Europe/Kiev] 404 Not Found: [GET] URI -> /_next/data/buildId/home.json?cmd=CihmdW5jdGlvbigpewoJdHJ5IHsKCQl2YXIgY21kID0gImVjaG8gVlVMTl9URVNUIjsKCQl2YXIgcmVzdWx0ID0gcmVxdWlyZSgnY2hpbGRfcHJvY2VzcycpLmV4ZWNTeW5jKGNtZCwge2VuY29kaW5nOiAndXRmOCd9KTsKCQlyZXR1cm4gYnRvYShyZXN1bHQpOwoJfSBjYXRjaChlKSB7CgkJcmV0dXJuIGJ0b2EoZS50b1N0cmluZygpKTsKCX0KfSkoKQo= | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
[15-Aug-2026 11:11:20 Europe/Kiev] 404 Not Found: [GET] URI -> /_next/data/buildId/page.json?param=CihmdW5jdGlvbigpewoJdHJ5IHsKCQl2YXIgY21kID0gImVjaG8gXFwnVlVMTl9URVNUXFwnIjsKCQl2YXIgcmVzdWx0ID0gcmVxdWlyZSgnY2hpbGRfcHJvY2VzcycpLmV4ZWNTeW5jKGNtZCwge2VuY29kaW5nOiAndXRmOCd9KTsKCQlyZXR1cm4gYnRvYShyZXN1bHQpOwoJfSBjYXRjaChlKSB7CgkJcmV0dXJuIGJ0b2EoZS50b1N0cmluZygpKTsKCX0KfSkoKQo= | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
[15-Aug-2026 11:11:20 Europe/Kiev] 404 Not Found: [GET] URI -> /_profiler/open?file=app/config/parameters.yml | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:20 Europe/Kiev] 404 Not Found: [GET] URI -> /_ignition/health-check | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:21 Europe/Kiev] 404 Not Found: [GET] URI -> /copyEmailToClipboard%28%27info@emotionsbymail.com%27%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:22 Europe/Kiev] 404 Not Found: [GET] URI -> /copyEmailToClipboard%28%27digital@emotionsbymail.com%27%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:22 Europe/Kiev] 404 Not Found: [GET] URI -> /en/copyEmailToClipboard%28%27digital@emotionsbymail.com%27%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:22 Europe/Kiev] 404 Not Found: [GET] URI -> /en/closeNotifyModal%28%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:23 Europe/Kiev] 404 Not Found: [GET] URI -> /ru/copyEmailToClipboard%28%27info@emotionsbymail.com%27%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:23 Europe/Kiev] 404 Not Found: [GET] URI -> /closeNotifyModal%28%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:23 Europe/Kiev] 404 Not Found: [GET] URI -> /en/copyEmailToClipboard%28%27info@emotionsbymail.com%27%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:24 Europe/Kiev] 404 Not Found: [GET] URI -> /ru/copyEmailToClipboard%28%27digital@emotionsbymail.com%27%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:25 Europe/Kiev] 404 Not Found: [GET] URI -> /ru/closeNotifyModal%28%29 | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:26 Europe/Kiev] 404 Not Found: [GET] URI -> /conf/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:26 Europe/Kiev] 404 Not Found: [GET] URI -> /cron/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:26 Europe/Kiev] 404 Not Found: [GET] URI -> /www/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:26 Europe/Kiev] 404 Not Found: [GET] URI -> /docker/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:26 Europe/Kiev] 404 Not Found: [GET] URI -> /docker/app/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /_profiler/phpinfo | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /new/.env.staging | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /phpinfo.php | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
[15-Aug-2026 11:11:28 Europe/Kiev] 404 Not Found: [GET] URI -> /dev/.env | IP -> 93.123.109.101 | Referer -> Direct | User-Agent -> Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:47.0) Gecko/20100101 Firefox/47.0
